name,city,day,latitude,longitude,note
那霸機場（OKA）,那霸,OKA D01,26.1959,127.6458,15:55 抵達；離境 D05 10:10
那霸國際通大和 ROYNET 飯店（住宿）,那霸,OKA D01,26.2155,127.6889,國際通；Check-in 17:00；2晚
國際通 Kokusai Street,那霸,OKA D01,26.2155,127.6889,那霸主要購物街；22:00 晚間逛街
叙叙苑 浦添 PARCO CITY 店,浦添,OKA D01,26.2394,127.7222,燒肉；19:00；已預訂
知念岬公園,南部・南城市,OKA D02,26.1554,127.8071,海岬景觀台；D02 南部巡遊
NIRAIKANAI 橋,南部・南城市,OKA D02,26.1630,127.8198,海景公路橋；12:30 途中停留
Valley of Gangala 山原之谷,南部・南城市,OKA D02,26.1393,127.7699,石灰岩洞穴；蝴蝶園；10:00 開始
玉泉洞,南部・南城市,OKA D02,26.1373,127.7711,石灰岩鐘乳洞；南部包車行程
Original Street Kart 街頭卡丁車,那霸・久茂地,OKA D02,26.2144,127.6879,Klook 預訂；15:00
BANTA CAFE,讀谷村,OKA D02,26.3846,127.6774,海景咖啡廳；19:30；預訂 ID: 4702622
A&W Makiminato,牧港,OKA D02,,,19:00 晚餐
私人公寓 Kourijima by Coldio（住宿）,古宇利島,OKA D02,26.8478,127.8382,入住碼 343709；2晚
美麗海水族館 Churaumi Aquarium,本部町,OKA D03,26.6939,127.8781,FunPass 適用；北部主景點
古宇利海洋塔 Kouri Ocean Tower,古宇利島,OKA D03,26.8484,127.8389,FunPass 適用；島上瞭望塔
備瀨福木林道 Bise Fukugi Road,本部町,OKA D03,26.7025,127.8837,綠色隧道步道；17:30 停留
KOURI SHRIMP,古宇利島,OKA D03,26.8481,127.8378,島上蝦料理；11:00 午餐
沖繩縣廳前大和 ROYNET 飯店（住宿）,那霸・縣廳前,OKA D04,26.2124,127.6801,Check-in；1晚
AEON MALL Okinawa Rycom,北中城,OKA D04,26.3066,127.7750,大型購物中心；10:30
美國村 American Village,北谷町,OKA D04,26.3147,127.7552,美式商圈；購物娛樂
牧志公設市場 Makishi Public Market,那霸・牧志,OKA D04,26.2168,127.6904,第一牧志公設市場；17:00–18:00
首里城 Shuri Castle,那霸・首里,OKA D04,26.2171,127.7197,FunPass 適用；世界遺產
お肉の一心 Oniku no Isshin,那霸・縣廳前,OKA D04,,,壽喜燒；20:00；預訂 ID: KZUHAW
鳳梨園 Pineapple Park,恩納村,OKA D05,,,鳳梨觀光農園；包車行程
兒童王國 Okinawa Children's Kingdom,沖繩市,OKA D05,,,包車行程
