name,city,day,latitude,longitude,note
諾維維多利亞飯店（住宿）,Singapore,SIN D01,1.2992,103.8554,87 Victoria Street；2晚
Gardens by the Bay 濱海灣花園,Singapore,SIN D01,1.2816,103.8636,光影秀；D1 晚間可選
Marina Bay Sands（The Shoppes）,Singapore,SIN D01,1.2838,103.8608,購物廣場；D1 晚間
Clarke Quay 克拉碼頭,Singapore,SIN D01,1.2906,103.8465,夜間酒吧街；D1 晚間
Haji Lane 哈芝巷,Singapore,SIN D02,1.3022,103.8594,壁畫街區；08:00
Chinatown 牛車水,Singapore,SIN D02,1.2834,103.8444,廟宇 + 伴手禮；09:00
Universal Studios Singapore（聖淘沙可選）,Singapore,SIN D02,1.2540,103.8238,環球影城；可選
S.E.A. Aquarium（聖淘沙可選）,Singapore,SIN D02,1.2543,103.8199,海洋館；可選
Skyline Luge Sentosa（聖淘沙可選）,Singapore,SIN D02,1.2529,103.8217,滑車；可選
Un-Yang-Kor-Dai 泰式料理,Singapore,SIN D02,,,13:15 已預訂；#4W9SDP3LZSE2；無現金支付
99 老樹榴槤甜品,Singapore,SIN D02,,,15:00；榴槤甜品
Golden Mile Thien Kee 雞飯,Singapore,SIN D02,1.3006,103.8571,16:00；Beach Road 一帶
Lexus Durian King,Singapore,SIN D02,1.3623,103.8887,18:00；Kovan 站附近；現場買榴槤
維多利亞酒店（住宿）,Melbourne,MEL D1,-37.8144,144.9659,215 Little Collins St；2晚
Queen Victoria Market,Melbourne,MEL D2,-37.8076,144.9568,週日農夫市集
Hosier Lane 塗鴉巷,Melbourne,MEL D2,-37.8183,144.9671,街頭藝術塗鴉；免費
St Kilda Beach,Melbourne,MEL D2,-37.8640,144.9763,海灘；電車可達
